symbol,total_volume,latest_price,avg_price,trades_count,expiration,expiration_date,option_type,strike
NQU5 P22500,147,498.0,504.7375,80,2025-09-19 13:30:00+00:00,2025-09-19,put,22500.0
NQZ5 C25000,148,406.0,427.51724137931035,29,2025-12-19 14:30:00+00:00,2025-12-19,call,25000.0
NQU5 P21500,143,277.0,276.4329268292683,41,2025-09-19 13:30:00+00:00,2025-09-19,put,21500.0
NQU5 C24500,126,129.0,163.7325581395349,43,2025-09-19 13:30:00+00:00,2025-09-19,call,24500.0
NQU5 C22750,14,824.0,794.2045454545455,11,2025-09-19 13:30:00+00:00,2025-09-19,call,22750.0
NQU5 P22750,95,569.0,581.0208333333334,36,2025-09-19 13:30:00+00:00,2025-09-19,put,22750.0
NQU5 P21000,144,213.0,218.115,50,2025-09-19 13:30:00+00:00,2025-09-19,put,21000.0
NQU5 P20000,75,124.0,130.925,20,2025-09-19 13:30:00+00:00,2025-09-19,put,20000.0
NQU5 P19000,60,73.0,77.96052631578948,19,2025-09-19 13:30:00+00:00,2025-09-19,put,19000.0
NQU5 P18000,21,49.0,48.94444444444444,9,2025-09-19 13:30:00+00:00,2025-09-19,put,18000.0
UD:2V: VT 2688867,1,166.0,166.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P15500,2,20.5,21.125,2,2025-09-19 13:30:00+00:00,2025-09-19,put,15500.0
NQU5 C24000,164,249.25,287.86224489795916,49,2025-09-19 13:30:00+00:00,2025-09-19,call,24000.0
NQZ5 C26500,197,140.0,153.9516129032258,31,2025-12-19 14:30:00+00:00,2025-12-19,call,26500.0
NQU5 P20500,82,155.5,168.22222222222223,27,2025-09-19 13:30:00+00:00,2025-09-19,put,20500.0
NQZ5 C23500,13,1043.25,1035.78125,8,2025-12-19 14:30:00+00:00,2025-12-19,call,23500.0
NQU5 P13500,1,11.5,11.5,1,2025-09-19 13:30:00+00:00,2025-09-19,put,13500.0
NQZ5 C24000,19,830.25,817.9,10,2025-12-19 14:30:00+00:00,2025-12-19,call,24000.0
UD:2V: GN 2690020,1,-28.75,-28.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C23250,55,607.0,599.8076923076923,26,2025-09-19 13:30:00+00:00,2025-09-19,call,23250.0
NQZ5 P16500,6,118.25,118.91666666666667,3,2025-12-19 14:30:00+00:00,2025-12-19,put,16500.0
NQU5 P17500,4,39.25,41.6875,4,2025-09-19 13:30:00+00:00,2025-09-19,put,17500.0
UD:2V: DG 2683053,1,-340.0,-340.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C22500,36,1000.0,1053.5277777777778,9,2025-09-19 13:30:00+00:00,2025-09-19,call,22500.0
NQU5 C23500,430,470.0,468.17287234042556,94,2025-09-19 13:30:00+00:00,2025-09-19,call,23500.0
NQU5 C24750,73,101.0,106.70833333333333,18,2025-09-19 13:30:00+00:00,2025-09-19,call,24750.0
NQU5 P21750,95,340.0,341.3333333333333,36,2025-09-19 13:30:00+00:00,2025-09-19,put,21750.0
NQZ5 C24500,29,571.5,573.4090909090909,11,2025-12-19 14:30:00+00:00,2025-12-19,call,24500.0
NQU5 P22000,352,366.0,370.15671641791045,67,2025-09-19 13:30:00+00:00,2025-09-19,put,22000.0
NQZ5 P17500,50,160.0,156.53846153846155,13,2025-12-19 14:30:00+00:00,2025-12-19,put,17500.0
NQZ5 P18000,72,186.5,187.78125,8,2025-12-19 14:30:00+00:00,2025-12-19,put,18000.0
NQZ5 P20500,8,458.25,458.25,3,2025-12-19 14:30:00+00:00,2025-12-19,put,20500.0
NQH6 P22000,7,1017.0,1017.0,1,2026-03-20 13:30:00+00:00,2026-03-20,put,22000.0
NQH6 P19500,13,482.0,488.25,2,2026-03-20 13:30:00+00:00,2026-03-20,put,19500.0
NQH6 P20000,24,569.0,545.5,5,2026-03-20 13:30:00+00:00,2026-03-20,put,20000.0
NQZ5 P23000,33,1084.0,1077.225,10,2025-12-19 14:30:00+00:00,2025-12-19,put,23000.0
NQU5 C23000,66,736.25,718.4772727272727,33,2025-09-19 13:30:00+00:00,2025-09-19,call,23000.0
NQU5 P19250,3,89.5,93.0,2,2025-09-19 13:30:00+00:00,2025-09-19,put,19250.0
NQZ5 P17000,51,140.5,136.5,7,2025-12-19 14:30:00+00:00,2025-12-19,put,17000.0
NQU5 P23000,203,646.0,676.6328125,64,2025-09-19 13:30:00+00:00,2025-09-19,put,23000.0
NQU5 C24250,89,186.0,220.6,15,2025-09-19 13:30:00+00:00,2025-09-19,call,24250.0
NQZ5 C26000,57,195.0,208.19642857142858,14,2025-12-19 14:30:00+00:00,2025-12-19,call,26000.0
UD:2V: VT 2507523,3,561.0,561.0,3,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 P22000,13,700.0,720.0625,4,2025-12-19 14:30:00+00:00,2025-12-19,put,22000.0
NQU5 P17000,27,31.75,31.4,5,2025-09-19 13:30:00+00:00,2025-09-19,put,17000.0
NQZ5 P25500,9,2384.5,2486.46875,8,2025-12-19 14:30:00+00:00,2025-12-19,put,25500.0
NQU5 P23500,50,930.0,912.6666666666666,6,2025-09-19 13:30:00+00:00,2025-09-19,put,23500.0
NQU5 C23750,77,355.0,378.1309523809524,21,2025-09-19 13:30:00+00:00,2025-09-19,call,23750.0
UD:2V: VT 2504276,100,131.75,131.75,5,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P23250,41,790.0,791.1916666666667,30,2025-09-19 13:30:00+00:00,2025-09-19,put,23250.0
NQU5 P15000,11,14.75,15.3,5,2025-09-19 13:30:00+00:00,2025-09-19,put,15000.0
NQZ5 C23000,15,1315.0,1316.7708333333333,12,2025-12-19 14:30:00+00:00,2025-12-19,call,23000.0
NQZ5 P23500,3,1301.0,1301.0,3,2025-12-19 14:30:00+00:00,2025-12-19,put,23500.0
NQH6 P19000,11,410.5,403.2,5,2026-03-20 13:30:00+00:00,2026-03-20,put,19000.0
UD:2V: VT 2514851,3,110.0,114.83333333333333,3,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P21250,46,245.75,239.85,15,2025-09-19 13:30:00+00:00,2025-09-19,put,21250.0
UD:2V: VT 2515079,2,93.0,94.625,2,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQH6 C30000,5,50.0,50.0,1,2026-03-20 13:30:00+00:00,2026-03-20,call,30000.0
NQZ5 P21000,5,520.0,520.0,1,2025-12-19 14:30:00+00:00,2025-12-19,put,21000.0
